,video_id,title,channel_id,channel_title
0,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
1,09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO
2,pRpeEdMmmQ0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO
3,lp-EO5I60KA,Ed Sheeran - Thinking Out Loud (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
4,2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
5,aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO
6,YqeW9_5kURI,Major Lazer &amp; DJ Snake - Lean On (feat. MØ) (Official Music Video),UCMJ5Qf3sOvQpcYiai1Noa3Q,Major Lazer Official
7,YQHsXMglC9A,Adele - Hello (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO
8,k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa
9,fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
10,2vjPBrBU-TM,Sia - Chandelier (Official Video),UCmKdSrwf1e8coqAzUsrVHZw,SiaVEVO
11,7wtfhZwyrcc,Imagine Dragons - Believer (Official Music Video),UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO
12,rYEDA3JcQqw,Adele - Rolling in the Deep (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO
13,rtOvBOTyX00,Christina Perri - A Thousand Years [Official Music Video],UC2gMECGMn5TVbRN5S5tKb8Q,Christina Perri
14,PMivT7MJ41M,Bruno Mars - That’s What I Like [Official Music Video],UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
15,8UVNT4wvIGY,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],UCFC9LamNMmLioW643VZ40OA,gotyemusic
16,kXYiU_JCYtU,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park
17,l0U7SxXHkPY,Future - Life Is Good (Official Music Video) ft. Drake,UCFNosi99Sp0_eLilBiXmmXA,FutureVEVO
18,hLQl3WQQoQ0,Adele - Someone Like You (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO
19,V1Pl8CzNzCw,"Billie Eilish, Khalid - lovely (Official Music Video)",UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO
20,5qm8PH4xAss,50 Cent - In Da Club (Official Music Video),UC0sL86jDLgs2fGRD-XBnPQA,50CentVEVO
21,LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
22,YVkUvmDQ3HY,Eminem - Without Me (Official Music Video),UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO
23,hTWKbfoikeg,Nirvana - Smells Like Teen Spirit (Official Music Video),UCzGrGrvf9g8CVVzh_LvGf-g,NirvanaVEVO
24,qrO4YZeyl0I,Lady Gaga - Bad Romance (Official Music Video),UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO
25,6NXnxTNIWkc,4 Non Blondes - What&#39;s Up (Official Music Video),UCJsu1rqVUJckZ-nSTLIWjcg,4NonBlondesVEVO
26,eVTXPUF4Oz4,In The End [Official HD Music Video] - Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park
27,UqyT8IEBkvY,Bruno Mars - 24K Magic (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
28,nCkpzqqog4k,Sam Smith - I&#39;m Not The Only One (Official Music Video),UC3Pa0DVzVkqEN_CwsNMapqg,SamSmithVEVO
29,xTlNMmZKwpA,"Cardi B, Bad Bunny &amp; J Balvin - I Like It [Official Music Video]",UCxMAbVFmxKUVGAll0WVGpFw,Cardi B
30,VbfpW0pbvaU,Shawn Mendes - Stitches (Official Music Video),UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO
31,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,UCzQNgpWWPLuoAC6zA3VejzA,NellyVEVO
32,dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),UCuAXFkgsw1L7xaCfnd5JJOw,Rick Astley
33,KlyXNRrsk4A,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO
34,6Ejga4kJUts,The Cranberries - Zombie (Official Music Video),UCF9i903aeMcvcapmP1bS1oA,TheCranberriesVEVO
35,LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],UCs8ynQgjoKZblUXosXoeOEQ,Lukas Graham
36,XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO
37,QGJuMBdaqIw,Katy Perry - Firework (Official Music Video),UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO
38,ZyhrYis509A,Aqua - Barbie Girl (Official Music Video),UCCiijV9YJmUtKSXOcxMqc_g,AquaVEVO
39,ekzHIouo8Q4,Bruno Mars - When I Was Your Man (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
40,nSDgHBxUbVQ,Ed Sheeran - Photograph (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran
41,4fndeDfaWCg,Backstreet Boys - I Want It That Way (Official HD Video),UCUFdeo1oLLH_QPlaQfZrqbg,BackstreetBoysVEVO
42,vx2u5uUu3DE,Bon Jovi - It&#39;s My Life (Official Music Video),UCwlTofOAY79PS_GhmborAdA,BonJoviVEVO
43,3YxaaGgTQYM,Evanescence - Bring Me To Life (Official HD Music Video),UCDDmukrq0bwckrp09bNt-Rw,EvanescenceVEVO
44,bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO
45,DyDfgMOUjCI,Billie Eilish - bad guy (Official Music Video),UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO
46,dT2owtxkU8k,Shawn Mendes - There&#39;s Nothing Holdin&#39; Me Back (Official Music Video),UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO
47,OMOGaugKpzs,The Police - Every Breath You Take (Official Music Video),UC4CnFBpo6Zk8D6bmeXB0MTg,ThePoliceVEVO
48,kTHNpusq654,Katy Perry - Hot N Cold (Official Music Video),UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO
49,bKDdT_nyP54,Akon - Smack That (Official Music Video) ft. Eminem,UCX2v47KsDKqajrEYFV7GbBg,AkonVEVO
50,SR6iYWJxHqs,Bruno Mars - Grenade (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
51,4LfJnj66HVQ,Lil Pump - Gucci Gang [Official Music Video],UC6pjHMC4QXMi4llCCjtDXWg,Lil Pump
52,zDo0H8Fm7d0,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],UC5-gWZXAQqSGVfPHkA7NRiQ,Bebe Rexha
53,m7Bc3pLyij0,Marshmello ft. Bastille - Happier (Official Music Video),UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello
54,UceaB4D0jpo,Post Malone ft. 21 Savage - rockstar (Official Music Video),UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO
55,GX8Hg6kWQYI,XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION
56,YlUKcNNmywk,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers
57,mWRsgZuwf_8,Imagine Dragons - Demons (Official Music Video),UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO
58,fwK7ggA3-bU,Maroon 5 - One More Night (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO
59,n4RjJKxsamQ,Scorpions - Wind Of Change (Official Music Video),UCqfmagAXUrUTHpJldTPRseg,ScorpionsVEVO
60,e-fA-gBCkj0,Bruno Mars - Locked Out Of Heaven (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars
61,fV4DiAyExN0,Hoobastank - The Reason (Official Music Video),UCRKwxkAaQWPhbLuE1KDbyeg,HoobastankVEVO
62,6EEW-9NDM5k,Akon - Lonely (Official Music Video),UCX2v47KsDKqajrEYFV7GbBg,AkonVEVO
